,Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information,Version
0,74,a,FIND,502,True,Homepage Version 2 - Connect   •   http://www.lib.montana.edu/index2.php,CONNECT
1,66,input,s.q,357,True,"created 5-29-2013   •   20 days 7 hours 34 mins   •   2742 visits, 1587 clicks",CONNECT
2,72,a,lib.montana.edu/find/,171,True,,CONNECT
3,133,area,Montana State University Libraries - Home,83,False,,CONNECT
4,103,a,Hours,74,True,,CONNECT
5,83,a,REQUEST,57,True,,CONNECT
6,92,a,CONNECT,53,True,,CONNECT
7,67,button,Search,47,True,,CONNECT
8,81,a,lib.montana.edu/request/,31,True,,CONNECT
9,101,a,News,31,True,,CONNECT
10,127,a,Contact Us,18,True,,CONNECT
11,69,a,Advanced Search,17,True,,CONNECT
12,35,a,slideshow-right,14,True,,CONNECT
13,124,a,About MSU Library,11,True,,CONNECT
14,11,div,.,9,True,,CONNECT
15,90,a,lib.montana.edu/interact/,9,True,,CONNECT
16,6,a,Ask A Librarian,8,True,,CONNECT
17,55,span,nav-item-dot,8,True,,CONNECT
18,132,a,Site Index & Site Search,7,True,,CONNECT
19,110,a,6/17 Library Workshop: Zotero Basics,6,True,,CONNECT
20,139,a,Tip of the Week: Submit a Request for the Library to Pu,5,False,,CONNECT
21,8,div,logo-ikd,4,True,,CONNECT
22,54,span,nav-item-line,4,True,,CONNECT
23,105,a,Twitter,4,True,,CONNECT
24,112,a,6/17 Library Workshop: EndNote Web Basics,4,True,,CONNECT
25,135,p,Renne: 7:00 am - 9:00 pm,4,False,,CONNECT
26,15,div,"Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Film",3,True,,CONNECT
27,47,span,nav-item-dot,3,True,,CONNECT
28,49,a,nav-item,3,True,,CONNECT
29,65,form,Search,3,True,,CONNECT
30,78,p,"Find research materials, including articles, books, databases, journals, and course reserves",3,True,,CONNECT
31,41,a,nav-item,2,True,,CONNECT
32,45,a,nav-item,2,True,,CONNECT
33,61,div,logo,2,True,,CONNECT
34,68,div,Advanced Search,2,True,,CONNECT
35,87,p,"Request resources and services, including group study rooms, laptops, documents, and books",2,True,,CONNECT
36,96,p,"Learn about the library and meet with us for research assistance, writing help, and tech support",2,True,,CONNECT
37,121,div,© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S,2,True,,CONNECT
38,3,img,Montana State University in Bozeman,1,True,,CONNECT
39,5,div,Ask A Librarian,1,True,,CONNECT
40,20,div,Montana State University Historical Photographs,1,True,,CONNECT
41,25,div,Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal,1,True,,CONNECT
42,37,a,nav-item,1,True,,CONNECT
43,43,span,nav-item-dot,1,True,,CONNECT
44,51,span,nav-item-dot,1,True,,CONNECT
45,53,a,nav-item,1,True,,CONNECT
46,106,ul,News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:,1,True,,CONNECT
47,118,a,Twitter,1,True,,CONNECT
48,123,a,MSU,1,True,,CONNECT
49,130,a,Mobile Site,1,True,,CONNECT
50,134,div,montana.summon.serialssolutions.com/advanced/,1,False,,CONNECT
51,136,div,News Hours Twitter News Database Trial: Entertainment Industry Magazine Archive 6/12 Library Worksho,1,False,,CONNECT
52,137,div,montana.summon.serialssolutions.com/advanced/,1,False,,CONNECT
53,138,img,"lib.montana.edu/data:image/gif;base64,R0lGODlhAQABAIAAAP/yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",1,False,,CONNECT
54,140,p,Renne: 10:00 am - 9:00 pm,1,False,,CONNECT
55,141,p,Renne: 7:00 am - 5:00 pm,1,False,,CONNECT
56,142,div,lib.montana.edu/find/,1,False,,CONNECT
57,143,div,index2.php,1,False,,CONNECT
