,Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information,Version
0,74,a,FIND,631,True,Homepage Version 4 - Help   •   http://www.lib.montana.edu/index4.php,HELP
1,66,input,s.q,364,True,"created 5-29-2013   •   20 days 4 hours 59 mins   •   3180 visits, 1717 clicks",HELP
2,72,a,lib.montana.edu/find/,139,True,,HELP
3,133,area,Montana State University - Home,122,False,,HELP
4,83,a,REQUEST,72,True,,HELP
5,103,a,Hours,68,True,,HELP
6,67,button,Search,59,True,,HELP
7,92,a,HELP,38,True,,HELP
8,101,a,News,26,True,,HELP
9,127,a,Contact Us,17,True,,HELP
10,81,a,lib.montana.edu/request/,15,True,,HELP
11,35,a,slideshow-right,14,True,,HELP
12,69,a,Advanced Search,14,True,,HELP
13,6,a,Ask A Librarian,10,True,,HELP
14,55,span,nav-item-dot,10,True,,HELP
15,105,a,Twitter,9,True,,HELP
16,134,a,slideshow-left,8,False,,HELP
17,135,a,Tip of the Week: Submit a Request for the Library to Pu,8,False,,HELP
18,90,a,lib.montana.edu/interact/,7,True,,HELP
19,68,div,Advanced Search,6,True,,HELP
20,112,a,6/17 Library Workshop: EndNote Web Basics,6,True,,HELP
21,124,a,About MSU Library,6,True,,HELP
22,65,form,Search,5,True,,HELP
23,15,div,"Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Film",4,True,,HELP
24,45,a,nav-item,4,True,,HELP
25,59,div,"Search Advanced Search FIND Find research materials, including articles, books, databases, journals,",4,True,,HELP
26,78,p,"Find research materials, including articles, books, databases, journals, and course reserves",4,True,,HELP
27,8,div,logo-ikd,3,True,,HELP
28,11,div,.,3,True,,HELP
29,41,a,nav-item,3,True,,HELP
30,132,a,Site Index & Site Search,3,True,,HELP
31,1,div,Ask A Librarian,2,True,,HELP
32,5,div,Ask A Librarian,2,True,,HELP
33,20,div,Montana State University Historical Photographs,2,True,,HELP
34,23,div,Indian Peoples of the Northern Great Plains,2,True,,HELP
35,49,a,nav-item,2,True,,HELP
36,53,a,nav-item,2,True,,HELP
37,61,div,logo,2,True,,HELP
38,110,a,6/17 Library Workshop: Zotero Basics,2,True,,HELP
39,118,a,Twitter,2,True,,HELP
40,2,div,Ask A Librarian,1,True,,HELP
41,3,img,Montana State University in Bozeman,1,True,,HELP
42,17,p,Science & Natural History Filmmaking Archive,1,True,,HELP
43,26,p,Meet with a librarian for help with your research topic,1,True,,HELP
44,51,span,nav-item-dot,1,True,,HELP
45,63,img,label for catsearch,1,True,,HELP
46,84,div,triangle-l,1,True,,HELP
47,87,p,"Request resources and services, including group study rooms, laptops, documents, and books",1,True,,HELP
48,106,ul,News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:,1,True,,HELP
49,107,li,News,1,True,,HELP
50,116,a,New Database: Access World News,1,True,,HELP
51,120,a,YouTube,1,True,,HELP
52,121,div,© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S,1,True,,HELP
53,128,a,Privacy Policy,1,True,,HELP
54,130,a,Mobile Site,1,True,,HELP
55,136,div,montana.summon.serialssolutions.com/advanced/,1,False,,HELP
56,137,img,s3.amazonaws.com/z90/d7563d332436cc96671be5ed9979147fx.png,1,False,,HELP
