,Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information,Version
0,128,area,Montana State University - Home,1291,False,Homepage Version 1 - Interact   •   http://www.lib.montana.edu/index.php,INTERACT
1,69,a,FIND,842,True,"created 5-29-2013   •   20 days 4 hours 21 mins   •   10283 visits, 3714 clicks",INTERACT
2,61,input,s.q,508,True,,INTERACT
3,67,a,lib.montana.edu/find/,166,True,,INTERACT
4,78,a,REQUEST,151,True,,INTERACT
5,98,a,Hours,102,True,,INTERACT
6,62,button,Search,101,True,,INTERACT
7,118,a,MSU,55,True,,INTERACT
8,50,span,nav-item-dot,46,True,,INTERACT
9,87,a,INTERACT,42,True,,INTERACT
10,76,a,lib.montana.edu/request/,38,True,,INTERACT
11,96,a,News,36,True,,INTERACT
12,85,a,lib.montana.edu/interact/,27,True,,INTERACT
13,30,a,slideshow-right,19,True,,INTERACT
14,73,p,"Find research materials, including articles, books, databases, journals, and course reserves",19,True,,INTERACT
15,64,a,Advanced Search,17,True,,INTERACT
16,6,a,Ask A Librarian,16,True,,INTERACT
17,107,a,6/17 Library Workshop: EndNote Web Basics,15,True,,INTERACT
18,29,a,slideshow-left,14,True,,INTERACT
19,119,a,About MSU Library,13,True,,INTERACT
20,8,div,logo-ikd,12,True,,INTERACT
21,11,div,.,11,True,,INTERACT
22,100,a,Twitter,10,True,,INTERACT
23,127,a,Site Index & Site Search,10,True,,INTERACT
24,122,a,Contact Us,9,True,,INTERACT
25,130,div,montana.edu,9,False,,INTERACT
26,137,p,Renne: 7:00 am - 9:00 pm,9,False,,INTERACT
27,36,a,nav-item,8,True,,INTERACT
28,40,a,nav-item,8,True,,INTERACT
29,44,a,nav-item,7,True,,INTERACT
30,60,form,Search,7,True,,INTERACT
31,132,a,Tip of the Week: Submit a Request for the Library to Pu,7,False,,INTERACT
32,1,div,Ask A Librarian,6,True,,INTERACT
33,54,div,"Search Advanced Search FIND Find research materials, including articles, books, databases, journals,",6,True,,INTERACT
34,48,a,nav-item,5,True,,INTERACT
35,55,div,Search Advanced Search,5,True,,INTERACT
36,115,a,YouTube,5,True,,INTERACT
37,3,img,Montana State University in Bozeman,4,True,,INTERACT
38,14,div,Montana State University Historical Photographs,4,True,,INTERACT
39,105,a,6/17 Library Workshop: Zotero Basics,4,True,,INTERACT
40,9,div,". Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Fil",3,True,,INTERACT
41,38,span,nav-item-dot,3,True,,INTERACT
42,42,span,nav-item-dot,3,True,,INTERACT
43,46,span,nav-item-dot,3,True,,INTERACT
44,56,div,logo,3,True,,INTERACT
45,82,p,"Request resources and services, including group study rooms, laptops, documents, and books",3,True,,INTERACT
46,131,div,montana.summon.serialssolutions.com/advanced/,3,False,,INTERACT
47,19,div,Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal,2,True,,INTERACT
48,32,a,nav-item,2,True,,INTERACT
49,34,span,nav-item-dot,2,True,,INTERACT
50,53,span,active-nav-item-inner,2,True,,INTERACT
51,72,div,"Find research materials, including articles, books, databases, journals, and course reserves",2,True,,INTERACT
52,113,a,Twitter,2,True,,INTERACT
53,116,div,© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S,2,True,,INTERACT
54,49,span,nav-item-line,1,True,,INTERACT
55,52,span,active-nav-item,1,True,,INTERACT
56,63,div,Advanced Search,1,True,,INTERACT
57,65,div,"FIND Find research materials, including articles, books, databases, journals, and course reserves",1,True,,INTERACT
58,101,ul,News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:,1,True,,INTERACT
59,106,li,6/17 Library Workshop: EndNote Web Basics,1,True,,INTERACT
60,108,li,Tip of the Week: Get MS Office Help,1,True,,INTERACT
61,110,li,New Database: Access World News,1,True,,INTERACT
62,121,a,Accessibility,1,True,,INTERACT
63,129,div,News Hours Twitter News 6/12 Library Workshop: EndNote X6 Basics 6/17 Library Workshop: Zotero Basic,1,False,,INTERACT
64,133,img,intext-a.akamaihd.net/items/it/img/assets/g9v.jpg,1,False,,INTERACT
65,134,div,index.php,1,False,,INTERACT
66,135,div,montana.summon.serialssolutions.com/advanced/,1,False,,INTERACT
67,136,div,montana.edu,1,False,,INTERACT
68,138,div,montana.summon.serialssolutions.com/advanced/,1,False,,INTERACT
