,Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information,Version
0,69,a,FIND,587,True,Homepage Version 3 - Learn   •   http://www.lib.montana.edu/index3.php,LEARN
1,61,input,s.q,325,True,"created 5-29-2013   •   20 days 12 hours 21 mins   •   2747 visits, 1652 clicks",LEARN
2,67,a,lib.montana.edu/find/,142,True,,LEARN
3,128,area,Montana State University - Home,83,False,,LEARN
4,98,a,Hours,76,True,,LEARN
5,78,a,REQUEST,63,True,,LEARN
6,62,button,Search,50,True,,LEARN
7,96,a,News,45,True,,LEARN
8,30,a,slideshow-right,35,True,,LEARN
9,64,a,Advanced Search,26,True,,LEARN
10,87,a,LEARN,21,True,,LEARN
11,76,a,lib.montana.edu/request/,20,True,,LEARN
12,50,span,nav-item-dot,13,True,,LEARN
13,60,form,Search,13,True,,LEARN
14,100,a,Twitter,10,True,,LEARN
15,119,a,About MSU Library,10,True,,LEARN
16,122,a,Contact Us,9,True,,LEARN
17,131,object,faUnit1,9,False,,LEARN
18,36,a,nav-item,8,True,,LEARN
19,85,a,lib.montana.edu/interact/,7,True,,LEARN
20,134,a,databases,7,False,,LEARN
21,6,a,Ask A Librarian,6,True,,LEARN
22,11,div,.,6,True,,LEARN
23,138,p,Renne: 7:00 am - 9:00 pm,6,False,,LEARN
24,29,a,slideshow-left,5,True,,LEARN
25,101,ul,News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:,5,True,,LEARN
26,132,a,Tip of the Week: Submit a Request for the Library to Pu,5,False,,LEARN
27,9,div,". Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Fil",4,True,,LEARN
28,8,div,logo-ikd,3,True,,LEARN
29,38,span,nav-item-dot,3,True,,LEARN
30,40,a,nav-item,3,True,,LEARN
31,44,a,nav-item,3,True,,LEARN
32,46,span,nav-item-dot,3,True,,LEARN
33,54,div,"Search Advanced Search FIND Find research materials, including articles, books, databases, journals,",3,True,,LEARN
34,127,a,Site Index & Site Search,3,True,,LEARN
35,137,p,Renne: 10:00 am - 9:00 pm,3,False,,LEARN
36,3,img,Montana State University in Bozeman,2,True,,LEARN
37,48,a,nav-item,2,True,,LEARN
38,55,div,Search Advanced Search,2,True,,LEARN
39,73,p,"Find research materials, including articles, books, databases, journals, and course reserves",2,True,,LEARN
40,116,div,© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S,2,True,,LEARN
41,130,div,TT_Close_Btn,2,False,,LEARN
42,15,p,Montana State University Historical Photographs,1,True,,LEARN
43,19,div,Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal,1,True,,LEARN
44,26,p,Call Us 406.994.3171,1,True,,LEARN
45,32,a,nav-item,1,True,,LEARN
46,34,span,nav-item-dot,1,True,,LEARN
47,42,span,nav-item-dot,1,True,,LEARN
48,56,div,logo,1,True,,LEARN
49,63,div,Advanced Search,1,True,,LEARN
50,105,a,6/17 Library Workshop: Zotero Basics,1,True,,LEARN
51,107,a,6/17 Library Workshop: EndNote Web Basics,1,True,,LEARN
52,118,a,MSU,1,True,,LEARN
53,121,a,Accessibility,1,True,,LEARN
54,125,a,Mobile Site,1,True,,LEARN
55,129,div,News Hours Twitter News Database Trial: Entertainment Industry Magazine Archive 6/4 Library Workshop,1,False,,LEARN
56,133,img,s3.amazonaws.com/z90/d7563d332436cc96671be5ed9979147fx.png,1,False,,LEARN
57,135,center,More Hours,1,False,,LEARN
58,136,div,montana.edu,1,False,,LEARN
59,139,center,"June 17, 2013",1,False,,LEARN
60,140,strong,"June 17, 2013",1,False,,LEARN
61,141,div,montana.summon.serialssolutions.com/advanced/,1,False,,LEARN
