,Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information,Version
0,69,a,FIND,397,True,Homepage Version 5 - Services   •   http://www.lib.montana.edu/index5.php,SERVICES
1,61,input,s.q,323,True,"created 5-29-2013   •   20 days 4 hours 59 mins   •   2064 visits, 1348 clicks",SERVICES
2,67,a,lib.montana.edu/find/,106,True,,SERVICES
3,62,button,Search,85,True,,SERVICES
4,98,a,Hours,81,True,,SERVICES
5,78,a,REQUEST,57,True,,SERVICES
6,129,area,Montana State University - Home,49,False,,SERVICES
7,87,a,SERVICES,45,True,,SERVICES
8,96,a,News,24,True,,SERVICES
9,76,a,lib.montana.edu/request/,22,True,,SERVICES
10,64,a,Advanced Search,19,True,,SERVICES
11,85,a,lib.montana.edu/interact/,18,True,,SERVICES
12,30,a,slideshow-right,14,True,,SERVICES
13,119,a,About MSU Library,9,True,,SERVICES
14,50,span,nav-item-dot,8,True,,SERVICES
15,115,a,YouTube,7,True,,SERVICES
16,6,a,Ask A Librarian,6,True,,SERVICES
17,122,a,Contact Us,6,True,,SERVICES
18,40,a,nav-item,5,True,,SERVICES
19,48,a,nav-item,5,True,,SERVICES
20,107,a,6/17 Library Workshop: EndNote Web Basics,5,True,,SERVICES
21,44,a,nav-item,4,True,,SERVICES
22,59,div,Search,4,True,,SERVICES
23,46,span,nav-item-dot,3,True,,SERVICES
24,58,img,label for catsearch,3,True,,SERVICES
25,60,form,Search,3,True,,SERVICES
26,63,div,Advanced Search,3,True,,SERVICES
27,128,div,"Explore the world, explore the pastScience & Natural History Filmmaking ArchiveMSU School of Film &",3,False,,SERVICES
28,3,img,Montana State University in Bozeman,2,True,,SERVICES
29,8,div,logo-ikd,2,True,,SERVICES
30,15,p,Montana State University Historical Photographs,2,True,,SERVICES
31,29,a,slideshow-left,2,True,,SERVICES
32,38,span,nav-item-dot,2,True,,SERVICES
33,73,p,"Find research materials, including articles, books, databases, journals, and course reserves",2,True,,SERVICES
34,105,a,6/17 Library Workshop: Zotero Basics,2,True,,SERVICES
35,114,a,Facebook,2,True,,SERVICES
36,125,a,Mobile Site,2,True,,SERVICES
37,14,div,Montana State University Historical Photographs,1,True,,SERVICES
38,18,p,Indian Peoples of the Northern Great Plains,1,True,,SERVICES
39,19,div,Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal,1,True,,SERVICES
40,25,a,Schedule a meeting,1,True,,SERVICES
41,36,a,nav-item,1,True,,SERVICES
42,42,span,nav-item-dot,1,True,,SERVICES
43,55,div,Search Advanced Search,1,True,,SERVICES
44,91,p,"Learn about the library and meet with us for research assistance, writing help, and tech support",1,True,,SERVICES
45,100,a,Twitter,1,True,,SERVICES
46,101,ul,News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:,1,True,,SERVICES
47,113,a,Twitter,1,True,,SERVICES
48,116,div,© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S,1,True,,SERVICES
49,130,div,lib.montana.edu/interact/,1,False,,SERVICES
50,131,center,lib.montana.edu/hours/,1,False,,SERVICES
51,132,font,지저귀다,1,False,,SERVICES
52,133,a,6/18 Excel 2010: Formulas and Functions [webinar],1,False,,SERVICES
